.header.seq,.header.stamp.secs,.header.stamp.nsecs,.transform.translation.x,.transform.translation.y,.transform.translation.z
148685,1682211421,743411606,-0.65671598,5.938915692,1.23627865
148686,1682211421,752777716,-0.655940728,5.93880018,1.239286031
148687,1682211421,762988461,-0.655138373,5.938865528,1.242549721
148688,1682211421,772261276,-0.654277657,5.938571116,1.245048965
148689,1682211421,783138718,-0.653519782,5.938468266,1.247934718
148690,1682211421,792393010,-0.652754208,5.938317558,1.250708536
148691,1682211421,802702025,-0.651985124,5.938212619,1.25347817
148692,1682211421,813621101,-0.651256282,5.938037861,1.256417164
148693,1682211421,823208686,-0.650510051,5.937861444,1.259103816
148694,1682211421,833132715,-0.649733526,5.93773697,1.261778434
148695,1682211421,842333005,-0.648864661,5.937671648,1.264283221
148696,1682211421,853434619,-0.647958279,5.937417601,1.266959911
148697,1682211421,865663994,-0.647297543,5.937457065,1.269489724
148698,1682211421,872832301,-0.646596627,5.937195262,1.271992489
148699,1682211421,882876899,-0.645741338,5.937181965,1.274537697
148700,1682211421,892484364,-0.645042889,5.936928717,1.2770248
148701,1682211421,905169724,-0.644314697,5.93679926,1.279395814
148702,1682211421,912334210,-0.643525083,5.936731493,1.281916854
148703,1682211421,924071822,-0.642727299,5.936771058,1.28412619
148704,1682211421,932374688,-0.641807153,5.936658223,1.286394067
148705,1682211421,942367417,-0.641044032,5.93659257,1.288811689
148706,1682211421,953403987,-0.640319059,5.936416202,1.291165283
148707,1682211421,963351442,-0.639519995,5.936310792,1.293533361
148708,1682211421,973158902,-0.638769092,5.936336507,1.295795173
148709,1682211421,982653822,-0.638001828,5.936167497,1.297953718
148710,1682211421,992276651,-0.637261738,5.936173483,1.300284078
148711,1682211422,2387176,-0.636468678,5.935933321,1.302675635
148712,1682211422,12499945,-0.635731375,5.935851515,1.304933783
148713,1682211422,22410296,-0.634955305,5.935781278,1.307145738
148714,1682211422,35290853,-0.634192412,5.935722947,1.309374882
148715,1682211422,44846403,-0.633399761,5.935682477,1.311618942
148716,1682211422,53318912,-0.632664496,5.935643866,1.313932483
148717,1682211422,64102993,-0.631894792,5.935560026,1.316223242
148718,1682211422,72182757,-0.631069787,5.935471287,1.318436084
148719,1682211422,82288835,-0.630306205,5.935374472,1.320822392
148720,1682211422,93237690,-0.629404175,5.935342295,1.322919458
148721,1682211422,102256341,-0.628718104,5.935387291,1.325201607
148722,1682211422,113161381,-0.628040561,5.935352747,1.327704996
148723,1682211422,122405839,-0.627234279,5.935319609,1.329945199
148724,1682211422,132752530,-0.62642121,5.935256736,1.332216244
148725,1682211422,142513764,-0.625600292,5.935257526,1.334476986
148726,1682211422,152513378,-0.624703416,5.935196221,1.336761074
148727,1682211422,163676650,-0.623958492,5.935157305,1.338947024
148728,1682211422,172731208,-0.623122005,5.935248671,1.341117922
148729,1682211422,184818782,-0.622247315,5.935158472,1.343450545
148730,1682211422,192266302,-0.621410838,5.935075106,1.345591041
148731,1682211422,202193113,-0.620524792,5.935084936,1.347922634
148732,1682211422,213216192,-0.619687662,5.934980715,1.349991188
148733,1682211422,224706724,-0.618787431,5.935089005,1.352246309
148734,1682211422,232314566,-0.617909157,5.93505872,1.354346708
148735,1682211422,242416007,-0.617039783,5.935027894,1.356488022
148736,1682211422,252778280,-0.61610986,5.93494864,1.358663662
148737,1682211422,262454721,-0.615213312,5.934940099,1.360792903
148738,1682211422,272517272,-0.614336267,5.934994372,1.362836141
148739,1682211422,283698150,-0.613457193,5.934950716,1.364884262
148740,1682211422,292651071,-0.612510247,5.934992151,1.367006242
148741,1682211422,302793189,-0.611598798,5.934984046,1.369024121
148742,1682211422,312225802,-0.61067677,5.934935381,1.371076311
148743,1682211422,322234722,-0.609706921,5.934869778,1.37304648
148744,1682211422,332478853,-0.608813185,5.934928266,1.375108725
148745,1682211422,343815627,-0.607912642,5.935008689,1.377016955
148746,1682211422,352419572,-0.606984087,5.935037966,1.379011444
148747,1682211422,363324786,-0.606035525,5.935033624,1.380945811
148748,1682211422,372104635,-0.605099278,5.93494748,1.382835625
148749,1682211422,384108203,-0.604132629,5.934997536,1.3847958
148750,1682211422,392400651,-0.603205492,5.935077923,1.386725239
148751,1682211422,402575310,-0.602256467,5.935073769,1.388586675
148752,1682211422,412463888,-0.601294143,5.935116524,1.39044279
148753,1682211422,422566224,-0.600356732,5.935142955,1.392297734
148754,1682211422,432639545,-0.599395452,5.935147952,1.394160936
148755,1682211422,442174498,-0.598421708,5.935176931,1.396010071
148756,1682211422,452274152,-0.597470152,5.935200204,1.397859471
148757,1682211422,462219360,-0.596523645,5.935256587,1.399602946
148758,1682211422,472993646,-0.595560548,5.93535544,1.401393074
148759,1682211422,484808003,-0.594590393,5.935420246,1.403225194
148760,1682211422,492249112,-0.593624467,5.93545733,1.404948346
148761,1682211422,502694521,-0.592650435,5.935487954,1.406731951
148762,1682211422,512239321,-0.591688668,5.935507452,1.40837865
148763,1682211422,524182955,-0.590717199,5.935663522,1.410158889
148764,1682211422,532914446,-0.589736723,5.935687928,1.411705876
148765,1682211422,543030919,-0.588782824,5.935913021,1.413432715
148766,1682211422,552524784,-0.587657159,5.935882063,1.415034162
148767,1682211422,562591616,-0.586796732,5.93602092,1.416620549
148768,1682211422,572372579,-0.585804831,5.936138676,1.418194205
148769,1682211422,582571821,-0.584862333,5.936280745,1.419794084
148770,1682211422,592774001,-0.583827502,5.936380318,1.421371703
148771,1682211422,602342986,-0.582833259,5.936482525,1.422769439
148772,1682211422,612284258,-0.581860752,5.936527473,1.42419545
