.header.seq,.header.stamp.secs,.header.stamp.nsecs,.transform.translation.x,.transform.translation.y,.transform.translation.z
148729,1682211422,172731208,-0.24670039,2.013541551,0.202361723
148730,1682211422,184818782,-0.246721984,2.013434751,0.202752246
148731,1682211422,192266302,-0.24675563,2.0134581,0.20280816
148732,1682211422,202193113,-0.246963896,2.013577705,0.202749217
148733,1682211422,213216192,-0.247022962,2.013540854,0.203032835
148734,1682211422,224706724,-0.247176802,2.013609421,0.203262882
148735,1682211422,232314566,-0.247435637,2.01369714,0.203570259
148736,1682211422,242416007,-0.247686661,2.013764257,0.203706512
148737,1682211422,252778280,-0.247920414,2.013766036,0.204071294
148738,1682211422,262454721,-0.248075027,2.01378666,0.204481732
148739,1682211422,272517272,-0.248483349,2.014021707,0.204593801
148740,1682211422,283698150,-0.248749589,2.014010798,0.205188245
148741,1682211422,292651071,-0.249233766,2.014357666,0.205353715
148742,1682211422,302793189,-0.249597032,2.014270923,0.205985822
148743,1682211422,312225802,-0.250060249,2.014441517,0.206399519
148744,1682211422,322234722,-0.250426007,2.014409596,0.207034777
148745,1682211422,332478853,-0.250641648,2.014399933,0.20792483
148746,1682211422,343815627,-0.251071104,2.014358705,0.208541435
148747,1682211422,352419572,-0.251281276,2.01400255,0.20941267
148748,1682211422,363324786,-0.251741447,2.013946255,0.210105622
148749,1682211422,372104635,-0.252279406,2.013989466,0.210987777
148750,1682211422,384108203,-0.252713304,2.013875276,0.211958555
148751,1682211422,392400651,-0.253229801,2.013941247,0.212906147
148752,1682211422,402575310,-0.253669696,2.014031336,0.214117459
148753,1682211422,412463888,-0.254218138,2.013865001,0.215185598
148754,1682211422,422566224,-0.254652025,2.0137182,0.216387489
148755,1682211422,432639545,-0.255471419,2.013763951,0.217934462
148756,1682211422,442174498,-0.256162272,2.013509872,0.219137944
148757,1682211422,452274152,-0.257191088,2.013795338,0.22063998
148758,1682211422,462219360,-0.2578292,2.013624849,0.222466221
148759,1682211422,472993646,-0.258646232,2.013593063,0.224221809
148760,1682211422,484808003,-0.259628984,2.013433617,0.226043457
148761,1682211422,492249112,-0.260605452,2.013369385,0.228123916
148762,1682211422,502694521,-0.261551919,2.01293762,0.230468309
148763,1682211422,512239321,-0.262891147,2.013184696,0.232495972
148764,1682211422,524182955,-0.264093905,2.012536803,0.234773715
